User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
222790,School6,4,Reading,590,Mid,4
223934,School1,4,Reading,417,Grade,0
224714,School1,4,Reading,613,Late,4
225003,School6,4,Reading,564,Early,4
225016,School10,4,Reading,504,Grade,3
229868,School15,4,Reading,574,Early,4
231157,School11,4,Reading,534,Grade,3
231318,School5,4,Reading,604,Late,4
232858,School6,4,Reading,572,Early,4
235865,School1,4,Reading,560,Early,4
237306,School1,4,Reading,612,Late,4
238197,School11,4,Reading,671,Grade,7
246488,School6,4,Reading,585,Mid,4
249545,School14,4,Reading,536,Grade,3
251693,School5,4,Reading,557,Early,4
253275,School1,4,Reading,600,Mid,4
253646,School8,4,Reading,584,Grade,5
258266,School11,4,Reading,560,Early,4
258678,School6,4,Reading,607,Late,4
263706,School1,4,Reading,634,Grade,5
265309,School6,4,Reading,553,Grade,3
268397,School5,4,Reading,566,Early,4
268829,School11,4,Reading,502,Grade,3
271099,School1,4,Reading,556,Grade,3
274621,School10,4,Reading,606,Late,4
275737,School11,4,Reading,501,Grade,3
277767,School6,4,Reading,582,Mid,4
280957,School11,4,Reading,567,Early,4
283543,School10,4,Reading,473,Grade,1
287383,School5,4,Reading,517,Grade,3
291994,School14,4,Reading,586,Mid,4
293935,School10,4,Reading,456,Grade,1
294613,School5,4,Reading,539,Grade,3
294664,School14,4,Reading,593,Mid,4
295514,School12,4,Reading,569,Early,4
297346,School5,4,Reading,545,Grade,3
297443,School14,4,Reading,596,Mid,4
300352,School11,4,Reading,626,Late,4
301300,School10,4,Reading,563,Early,4
303351,School11,4,Reading,512,Grade,3
304917,School14,4,Reading,460,Grade,1
305553,School14,4,Reading,597,Mid,4
307607,School6,4,Reading,488,Grade,2
310882,School14,4,Reading,528,Grade,3
311493,School5,4,Reading,522,Grade,3
313023,School5,4,Reading,498,Grade,3
315963,School6,4,Reading,549,Grade,3
318731,School6,4,Reading,528,Grade,3
323268,School12,4,Reading,648,Grade,6
324713,School5,4,Reading,549,Grade,3
327669,School6,4,Reading,577,Early,4
328515,School12,4,Reading,594,Mid,4
329338,School11,4,Reading,648,Grade,6
329738,School14,4,Reading,602,Mid,4
330840,School11,4,Reading,643,Grade,6
331852,School11,4,Reading,656,Grade,7
335245,School12,4,Reading,575,Early,4
339713,School6,4,Reading,632,Grade,5
342435,School11,4,Reading,577,Early,4
343372,School5,4,Reading,561,Early,4
343907,School14,4,Reading,548,Grade,3
344255,School6,4,Reading,608,Late,4
345424,School1,4,Reading,632,Grade,5
345819,School10,4,Reading,542,Grade,3
352817,School10,4,Reading,514,Grade,3
352920,School1,4,Reading,626,Late,4
353772,School1,4,Reading,631,Grade,5
355487,School1,4,Reading,648,Grade,6
355689,School11,4,Reading,465,Grade,1
355783,School5,4,Reading,571,Early,4
355807,School6,4,Reading,488,Grade,2
358465,School1,4,Reading,675,Grade,7
363294,School15,4,Reading,602,Mid,4
365526,School11,4,Reading,577,Early,4
372817,School11,4,Reading,601,Mid,4
374497,School1,4,Reading,465,Grade,1
377195,School5,4,Reading,562,Early,4
383978,School5,4,Reading,466,Grade,1
384474,School10,4,Reading,546,Grade,3
