User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
274621,School10,4,Reading,606,Late 4
275026,School8,6,Reading,584,Grade 5
275288,School8,7,Reading,546,Grade 4
275737,School11,4,Reading,501,Grade 3
276199,School6,6,Reading,517,Grade 3
276588,School14,5,Reading,574,Grade 4
277288,School13,6,Reading,675,Grade 8
277572,School7,6,Reading,565,Grade 4
277607,School10,3,Reading,469,Grade 1
277663,School6,6,Reading,533,Grade 3
277767,School6,4,Reading,582,Mid 4
278330,School13,6,Reading,470,Grade 1
278546,School13,6,Reading,598,Early 6
278547,School11,5,Reading,549,Grade 4
278600,School13,6,Reading,517,Grade 3
278816,School8,6,Reading,642,Late 6
278856,School13,7,Reading,647,Mid 7
280957,School11,4,Reading,567,Early 4
281498,School3,5,Reading,569,Grade 4
281603,School11,5,Reading,608,Early 5
281891,School8,8,Reading,504,Grade 3
282420,School7,6,Reading,633,Mid 6
282541,School13,6,Reading,585,Grade 5
282554,School7,7,Reading,631,Early 7
283543,School10,4,Reading,473,Grade 1
284103,School7,6,Reading,682,Grade 8
284335,School8,8,Reading,550,Grade 4
284429,School8,7,Reading,585,Grade 6
284751,School12,5,Reading,581,Early 5
285067,School5,5,Reading,549,Grade 4
285238,School10,5,Reading,645,Grade 6
285244,School8,6,Reading,575,Grade 5
285536,School7,6,Reading,587,Grade 5
285642,School8,6,Reading,683,Grade 8
285936,School7,7,Reading,688,Grade 9
286115,School8,8,Reading,657,Mid 8
286204,School13,8,Reading,571,Grade 5
287383,School5,4,Reading,517,Grade 3
287389,School8,7,Reading,617,Early 7
288202,School7,7,Reading,545,Grade 4
288620,School8,8,Reading,587,Grade 6
288631,School8,8,Reading,662,Mid 8
288659,School1,5,Reading,646,Grade 6
289465,School3,3,Reading,420,Grade 1
289984,School12,5,Reading,629,Mid 5
290170,School1,5,Reading,524,Grade 3
290272,School10,3,Reading,589,Late 3
290578,School8,8,Reading,662,Mid 8
290963,School8,6,Reading,679,Grade 8
291017,School8,8,Reading,656,Mid 8
291413,School8,7,Reading,737,Grade 10
291994,School14,4,Reading,586,Mid 4
292038,School7,6,Reading,617,Mid 6
293072,School13,8,Reading,577,Grade 5
293568,School7,6,Reading,523,Grade 3
293718,School7,6,Reading,572,Grade 5
293935,School10,4,Reading,456,Grade 1
294006,School7,7,Reading,689,Grade 9
294163,School8,8,Reading,675,Late 8
